,index,today,expiration,strike,optionType,spot,riskFreeRate,optionPremiumPrice
1,0,10-07-2023 09:31,14-07-2023 00:00,80,C,132.04,0.05,52.08891602
2,1,10-07-2023 09:31,14-07-2023 00:00,80,P,132.04,0.05,0.001823991
3,2,10-07-2023 09:31,14-07-2023 00:00,85,C,132.04,0.05,47.0842064
4,3,10-07-2023 09:31,14-07-2023 00:00,85,P,132.04,0.05,0.001869603
5,4,10-07-2023 09:31,14-07-2023 00:00,90,C,132.04,0.05,42.08031876
6,5,10-07-2023 09:31,14-07-2023 00:00,90,P,132.04,0.05,0.001920117
7,6,10-07-2023 09:31,14-07-2023 00:00,95,C,132.04,0.05,37.08188416
8,7,10-07-2023 09:31,14-07-2023 00:00,95,P,132.04,0.05,0.001978305
9,8,10-07-2023 09:31,14-07-2023 00:00,100,C,132.04,0.05,0
10,9,10-07-2023 09:31,14-07-2023 00:00,100,P,132.04,0.05,0.002047443
11,10,10-07-2023 09:31,14-07-2023 00:00,105,C,132.04,0.05,27.09731827
12,11,10-07-2023 09:31,14-07-2023 00:00,105,P,132.04,0.05,0.002123515
13,12,10-07-2023 09:31,14-07-2023 00:00,110,C,132.04,0.05,22.09910526
14,13,10-07-2023 09:31,14-07-2023 00:00,110,P,132.04,0.05,0.002216587
15,14,10-07-2023 09:31,14-07-2023 00:00,115,C,132.04,0.05,17.09802667
16,15,10-07-2023 09:31,14-07-2023 00:00,115,P,132.04,0.05,0.003412871
17,16,10-07-2023 09:31,14-07-2023 00:00,116,C,132.04,0.05,16.11871925
18,17,10-07-2023 09:31,14-07-2023 00:00,116,P,132.04,0.05,0.003447479
19,18,10-07-2023 09:31,14-07-2023 00:00,117,C,132.04,0.05,0
20,19,10-07-2023 09:31,14-07-2023 00:00,117,P,132.04,0.05,0.00348409
21,20,10-07-2023 09:31,14-07-2023 00:00,118,C,132.04,0.05,14.10212139
22,21,10-07-2023 09:31,14-07-2023 00:00,118,P,132.04,0.05,0.003524218
23,22,10-07-2023 09:31,14-07-2023 00:00,119,C,132.04,0.05,0
24,23,10-07-2023 09:31,14-07-2023 00:00,119,P,132.04,0.05,0.003569944
25,24,10-07-2023 09:31,14-07-2023 00:00,120,C,132.04,0.05,0
26,25,10-07-2023 09:31,14-07-2023 00:00,120,P,132.04,0.05,0.003614463
27,26,10-07-2023 09:31,14-07-2023 00:00,121,C,132.04,0.05,0
28,27,10-07-2023 09:31,14-07-2023 00:00,121,P,132.04,0.05,0.004916777
29,28,10-07-2023 09:31,14-07-2023 00:00,122,C,132.04,0.05,0
30,29,10-07-2023 09:31,14-07-2023 00:00,122,P,132.04,0.05,0.006354881
31,30,10-07-2023 09:31,14-07-2023 00:00,123,C,132.04,0.05,0
32,31,10-07-2023 09:31,14-07-2023 00:00,123,P,132.04,0.05,0.006447279
33,32,10-07-2023 09:31,14-07-2023 00:00,124,C,132.04,0.05,8.123900418
34,33,10-07-2023 09:31,14-07-2023 00:00,124,P,132.04,0.05,0.00652613
35,34,10-07-2023 09:31,14-07-2023 00:00,125,C,132.04,0.05,0
36,35,10-07-2023 09:31,14-07-2023 00:00,125,P,132.04,0.05,0.008113702
37,36,10-07-2023 09:31,14-07-2023 00:00,126,C,132.04,0.05,0
38,37,10-07-2023 09:31,14-07-2023 00:00,126,P,132.04,0.05,0.015069901
39,38,10-07-2023 09:31,14-07-2023 00:00,127,C,132.04,0.05,5.137744086
40,39,10-07-2023 09:31,14-07-2023 00:00,127,P,132.04,0.05,0.023102176
41,40,10-07-2023 09:31,14-07-2023 00:00,128,C,132.04,0.05,4.112181188
42,41,10-07-2023 09:31,14-07-2023 00:00,128,P,132.04,0.05,0.029963942
43,42,10-07-2023 09:31,14-07-2023 00:00,129,C,132.04,0.05,3.181142281
44,43,10-07-2023 09:31,14-07-2023 00:00,129,P,132.04,0.05,0.076199866
45,44,10-07-2023 09:31,14-07-2023 00:00,130,C,132.04,0.05,2.308397333
46,45,10-07-2023 09:31,14-07-2023 00:00,130,P,132.04,0.05,0.181120519
47,46,10-07-2023 09:31,14-07-2023 00:00,131,C,132.04,0.05,1.476141793
48,47,10-07-2023 09:31,14-07-2023 00:00,131,P,132.04,0.05,0.431813495
49,48,10-07-2023 09:31,14-07-2023 00:00,132,C,132.04,0.05,0.894835553
50,49,10-07-2023 09:31,14-07-2023 00:00,132,P,132.04,0.05,0.835415571
51,50,10-07-2023 09:31,14-07-2023 00:00,133,C,132.04,0.05,0.469942374
52,51,10-07-2023 09:31,14-07-2023 00:00,133,P,132.04,0.05,1.308930536
53,52,10-07-2023 09:31,14-07-2023 00:00,134,C,132.04,0.05,0.208243498
54,53,10-07-2023 09:31,14-07-2023 00:00,134,P,132.04,0.05,2.071899755
55,54,10-07-2023 09:31,14-07-2023 00:00,135,C,132.04,0.05,0.090168639
56,55,10-07-2023 09:31,14-07-2023 00:00,135,P,132.04,0.05,3.120646237
57,56,10-07-2023 09:31,14-07-2023 00:00,136,C,132.04,0.05,0.043187332
58,57,10-07-2023 09:31,14-07-2023 00:00,136,P,132.04,0.05,4.011559538
59,58,10-07-2023 09:31,14-07-2023 00:00,137,C,132.04,0.05,0.028292773
60,59,10-07-2023 09:31,14-07-2023 00:00,137,P,132.04,0.05,5.009805288
61,60,10-07-2023 09:31,14-07-2023 00:00,138,C,132.04,0.05,0.011494865
62,61,10-07-2023 09:31,14-07-2023 00:00,138,P,132.04,0.05,0
63,62,10-07-2023 09:31,14-07-2023 00:00,139,C,132.04,0.05,0.010717584
64,63,10-07-2023 09:31,14-07-2023 00:00,139,P,132.04,0.05,0
65,64,10-07-2023 09:31,14-07-2023 00:00,140,C,132.04,0.05,0.010124038
66,65,10-07-2023 09:31,14-07-2023 00:00,140,P,132.04,0.05,0
67,66,10-07-2023 09:31,14-07-2023 00:00,141,C,132.04,0.05,0.005829452
68,67,10-07-2023 09:31,14-07-2023 00:00,141,P,132.04,0.05,0
69,68,10-07-2023 09:31,14-07-2023 00:00,142,C,132.04,0.05,0.005560876
70,69,10-07-2023 09:31,14-07-2023 00:00,142,P,132.04,0.05,0
71,70,10-07-2023 09:31,14-07-2023 00:00,143,C,132.04,0.05,0.005339822
72,71,10-07-2023 09:31,14-07-2023 00:00,143,P,132.04,0.05,0
73,72,10-07-2023 09:31,14-07-2023 00:00,144,C,132.04,0.05,0.002160487
74,73,10-07-2023 09:31,14-07-2023 00:00,144,P,132.04,0.05,0
75,74,10-07-2023 09:31,14-07-2023 00:00,145,C,132.04,0.05,0.003473157
76,75,10-07-2023 09:31,14-07-2023 00:00,145,P,132.04,0.05,0
77,76,10-07-2023 09:31,14-07-2023 00:00,146,C,132.04,0.05,0.003366286
78,77,10-07-2023 09:31,14-07-2023 00:00,146,P,132.04,0.05,0
79,78,10-07-2023 09:31,14-07-2023 00:00,147,C,132.04,0.05,0.003264175
80,79,10-07-2023 09:31,14-07-2023 00:00,147,P,132.04,0.05,0
81,80,10-07-2023 09:31,14-07-2023 00:00,148,C,132.04,0.05,0.003180719
82,81,10-07-2023 09:31,14-07-2023 00:00,148,P,132.04,0.05,0
83,82,10-07-2023 09:31,14-07-2023 00:00,149,C,132.04,0.05,0.003104162
84,83,10-07-2023 09:31,14-07-2023 00:00,149,P,132.04,0.05,0
85,84,10-07-2023 09:31,14-07-2023 00:00,150,C,132.04,0.05,0.003032561
86,85,10-07-2023 09:31,14-07-2023 00:00,150,P,132.04,0.05,0
87,86,10-07-2023 09:31,14-07-2023 00:00,152.5,C,132.04,0.05,0.002876593
88,87,10-07-2023 09:31,14-07-2023 00:00,152.5,P,132.04,0.05,0
89,88,10-07-2023 09:31,14-07-2023 00:00,155,C,132.04,0.05,0.002752619
90,89,10-07-2023 09:31,14-07-2023 00:00,155,P,132.04,0.05,0
91,90,10-07-2023 09:31,14-07-2023 00:00,160,C,132.04,0.05,0.002552245
92,91,10-07-2023 09:31,14-07-2023 00:00,160,P,132.04,0.05,0
93,92,10-07-2023 09:31,14-07-2023 00:00,165,C,132.04,0.05,0.003476336
94,93,10-07-2023 09:31,14-07-2023 00:00,165,P,132.04,0.05,0
95,94,10-07-2023 09:31,14-07-2023 00:00,170,C,132.04,0.05,0.003301896
96,95,10-07-2023 09:31,14-07-2023 00:00,170,P,132.04,0.05,0
97,96,10-07-2023 09:31,14-07-2023 00:00,175,C,132.04,0.05,0.003160566
98,97,10-07-2023 09:31,14-07-2023 00:00,175,P,132.04,0.05,0
99,98,10-07-2023 09:31,14-07-2023 00:00,180,C,132.04,0.05,0.003040981
100,99,10-07-2023 09:31,14-07-2023 00:00,180,P,132.04,0.05,0
101,100,10-07-2023 09:31,21-07-2023 00:00,65,C,132.04,0.05,67.13418723
102,101,10-07-2023 09:31,21-07-2023 00:00,65,P,132.04,0.05,0.010798471
103,102,10-07-2023 09:31,21-07-2023 00:00,70,C,132.04,0.05,62.14510064
104,103,10-07-2023 09:31,21-07-2023 00:00,70,P,132.04,0.05,0.007932183
105,104,10-07-2023 09:31,21-07-2023 00:00,75,C,132.04,0.05,0
106,105,10-07-2023 09:31,21-07-2023 00:00,75,P,132.04,0.05,0.007963587
107,106,10-07-2023 09:31,21-07-2023 00:00,80,C,132.04,0.05,52.17016799
108,107,10-07-2023 09:31,21-07-2023 00:00,80,P,132.04,0.05,0.007951498
109,108,10-07-2023 09:31,21-07-2023 00:00,85,C,132.04,0.05,0
110,109,10-07-2023 09:31,21-07-2023 00:00,85,P,132.04,0.05,0.007986221
111,110,10-07-2023 09:31,21-07-2023 00:00,90,C,132.04,0.05,42.18969359
112,111,10-07-2023 09:31,21-07-2023 00:00,90,P,132.04,0.05,0.008010536
113,112,10-07-2023 09:31,21-07-2023 00:00,95,C,132.04,0.05,37.20775069
114,113,10-07-2023 09:31,21-07-2023 00:00,95,P,132.04,0.05,0.011008705
115,114,10-07-2023 09:31,21-07-2023 00:00,100,C,132.04,0.05,32.20947459
116,115,10-07-2023 09:31,21-07-2023 00:00,100,P,132.04,0.05,0.005184943
117,116,10-07-2023 09:31,21-07-2023 00:00,105,C,132.04,0.05,0
118,117,10-07-2023 09:31,21-07-2023 00:00,105,P,132.04,0.05,0.017267573
119,118,10-07-2023 09:31,21-07-2023 00:00,110,C,132.04,0.05,22.24681081
120,119,10-07-2023 09:31,21-07-2023 00:00,110,P,132.04,0.05,0.030317319
121,120,10-07-2023 09:31,21-07-2023 00:00,115,C,132.04,0.05,17.59851152
122,121,10-07-2023 09:31,21-07-2023 00:00,115,P,132.04,0.05,0.05448531
123,122,10-07-2023 09:31,21-07-2023 00:00,116,C,132.04,0.05,16.64063482
124,123,10-07-2023 09:31,21-07-2023 00:00,116,P,132.04,0.05,0.061672645
125,124,10-07-2023 09:31,21-07-2023 00:00,117,C,132.04,0.05,15.63428262
126,125,10-07-2023 09:31,21-07-2023 00:00,117,P,132.04,0.05,0.068952266
127,126,10-07-2023 09:31,21-07-2023 00:00,118,C,132.04,0.05,14.66379016
128,127,10-07-2023 09:31,21-07-2023 00:00,118,P,132.04,0.05,0.083470748
129,128,10-07-2023 09:31,21-07-2023 00:00,119,C,132.04,0.05,13.67838468
130,129,10-07-2023 09:31,21-07-2023 00:00,119,P,132.04,0.05,0.09835863
131,130,10-07-2023 09:31,21-07-2023 00:00,120,C,132.04,0.05,12.36151276
132,131,10-07-2023 09:31,21-07-2023 00:00,120,P,132.04,0.05,0.117231049
133,132,10-07-2023 09:31,21-07-2023 00:00,121,C,132.04,0.05,11.40104358
134,133,10-07-2023 09:31,21-07-2023 00:00,121,P,132.04,0.05,0.144118551
135,134,10-07-2023 09:31,21-07-2023 00:00,122,C,132.04,0.05,10.44163756
136,135,10-07-2023 09:31,21-07-2023 00:00,122,P,132.04,0.05,0.187430551
137,136,10-07-2023 09:31,21-07-2023 00:00,123,C,132.04,0.05,9.523680623
138,137,10-07-2023 09:31,21-07-2023 00:00,123,P,132.04,0.05,0.247549286
139,138,10-07-2023 09:31,21-07-2023 00:00,124,C,132.04,0.05,8.600888352
140,139,10-07-2023 09:31,21-07-2023 00:00,124,P,132.04,0.05,0.335366418
141,140,10-07-2023 09:31,21-07-2023 00:00,125,C,132.04,0.05,7.715421773
142,141,10-07-2023 09:31,21-07-2023 00:00,125,P,132.04,0.05,0.505272568
143,142,10-07-2023 09:31,21-07-2023 00:00,126,C,132.04,0.05,6.868883287
144,143,10-07-2023 09:31,21-07-2023 00:00,126,P,132.04,0.05,0.586759221
145,144,10-07-2023 09:31,21-07-2023 00:00,127,C,132.04,0.05,6.041140778
146,145,10-07-2023 09:31,21-07-2023 00:00,127,P,132.04,0.05,0.783547343
147,146,10-07-2023 09:31,21-07-2023 00:00,128,C,132.04,0.05,5.298400944
148,147,10-07-2023 09:31,21-07-2023 00:00,128,P,132.04,0.05,1.016675725
149,148,10-07-2023 09:31,21-07-2023 00:00,129,C,132.04,0.05,4.456995223
150,149,10-07-2023 09:31,21-07-2023 00:00,129,P,132.04,0.05,1.295842321
151,150,10-07-2023 09:31,21-07-2023 00:00,130,C,132.04,0.05,3.855974988
152,151,10-07-2023 09:31,21-07-2023 00:00,130,P,132.04,0.05,1.615190794
153,152,10-07-2023 09:31,21-07-2023 00:00,131,C,132.04,0.05,3.308650002
154,153,10-07-2023 09:31,21-07-2023 00:00,131,P,132.04,0.05,2.093586665
155,154,10-07-2023 09:31,21-07-2023 00:00,132,C,132.04,0.05,2.759038146
156,155,10-07-2023 09:31,21-07-2023 00:00,132,P,132.04,0.05,2.475670227
157,156,10-07-2023 09:31,21-07-2023 00:00,133,C,132.04,0.05,2.277691193
158,157,10-07-2023 09:31,21-07-2023 00:00,133,P,132.04,0.05,2.999198291
159,158,10-07-2023 09:31,21-07-2023 00:00,134,C,132.04,0.05,1.944624381
160,159,10-07-2023 09:31,21-07-2023 00:00,134,P,132.04,0.05,3.775536941
161,160,10-07-2023 09:31,21-07-2023 00:00,135,C,132.04,0.05,1.49510864
162,161,10-07-2023 09:31,21-07-2023 00:00,135,P,132.04,0.05,4.184183917
163,162,10-07-2023 09:31,21-07-2023 00:00,136,C,132.04,0.05,1.249911479
164,163,10-07-2023 09:31,21-07-2023 00:00,136,P,132.04,0.05,4.869704371
165,164,10-07-2023 09:31,21-07-2023 00:00,137,C,132.04,0.05,0.921137368
166,165,10-07-2023 09:31,21-07-2023 00:00,137,P,132.04,0.05,5.662179311
167,166,10-07-2023 09:31,21-07-2023 00:00,138,C,132.04,0.05,0.710360421
168,167,10-07-2023 09:31,21-07-2023 00:00,138,P,132.04,0.05,6.384464901
169,168,10-07-2023 09:31,21-07-2023 00:00,139,C,132.04,0.05,0.550512127
170,169,10-07-2023 09:31,21-07-2023 00:00,139,P,132.04,0.05,7.204126741
171,170,10-07-2023 09:31,21-07-2023 00:00,140,C,132.04,0.05,0.408180683
172,171,10-07-2023 09:31,21-07-2023 00:00,140,P,132.04,0.05,8.047003559
173,172,10-07-2023 09:31,21-07-2023 00:00,141,C,132.04,0.05,0.318794013
174,173,10-07-2023 09:31,21-07-2023 00:00,141,P,132.04,0.05,8.934087398
175,174,10-07-2023 09:31,21-07-2023 00:00,142,C,132.04,0.05,0.244886733
176,175,10-07-2023 09:31,21-07-2023 00:00,142,P,132.04,0.05,9.900175104
177,176,10-07-2023 09:31,21-07-2023 00:00,143,C,132.04,0.05,0.193917297
178,177,10-07-2023 09:31,21-07-2023 00:00,143,P,132.04,0.05,0
179,178,10-07-2023 09:31,21-07-2023 00:00,144,C,132.04,0.05,0.154199625
180,179,10-07-2023 09:31,21-07-2023 00:00,144,P,132.04,0.05,12.32242841
181,180,10-07-2023 09:31,21-07-2023 00:00,145,C,132.04,0.05,0.13596501
182,181,10-07-2023 09:31,21-07-2023 00:00,145,P,132.04,0.05,13.29348123
183,182,10-07-2023 09:31,21-07-2023 00:00,146,C,132.04,0.05,0.097600045
184,183,10-07-2023 09:31,21-07-2023 00:00,146,P,132.04,0.05,14.37330052
185,184,10-07-2023 09:31,21-07-2023 00:00,147,C,132.04,0.05,0.080436985
186,185,10-07-2023 09:31,21-07-2023 00:00,147,P,132.04,0.05,15.2841339
187,186,10-07-2023 09:31,21-07-2023 00:00,148,C,132.04,0.05,0.063822096
188,187,10-07-2023 09:31,21-07-2023 00:00,148,P,132.04,0.05,16.29471004
189,188,10-07-2023 09:31,21-07-2023 00:00,149,C,132.04,0.05,0.04767534
190,189,10-07-2023 09:31,21-07-2023 00:00,149,P,132.04,0.05,17.29062348
191,190,10-07-2023 09:31,21-07-2023 00:00,150,C,132.04,0.05,0.047345323
192,191,10-07-2023 09:31,21-07-2023 00:00,150,P,132.04,0.05,18.29477273
193,192,10-07-2023 09:31,21-07-2023 00:00,152.5,C,132.04,0.05,0.031467722
194,193,10-07-2023 09:31,21-07-2023 00:00,152.5,P,132.04,0.05,20.77734942
195,194,10-07-2023 09:31,21-07-2023 00:00,155,C,132.04,0.05,0.023725215
196,195,10-07-2023 09:31,21-07-2023 00:00,155,P,132.04,0.05,0
197,196,10-07-2023 09:31,21-07-2023 00:00,160,C,132.04,0.05,0.026673162
198,197,10-07-2023 09:31,21-07-2023 00:00,160,P,132.04,0.05,0
199,198,10-07-2023 09:31,21-07-2023 00:00,165,C,132.04,0.05,0.012474044
200,199,10-07-2023 09:31,21-07-2023 00:00,165,P,132.04,0.05,0
201,200,10-07-2023 09:31,21-07-2023 00:00,170,C,132.04,0.05,0.012239654
202,201,10-07-2023 09:31,21-07-2023 00:00,170,P,132.04,0.05,0
203,202,10-07-2023 09:31,21-07-2023 00:00,175,C,132.04,0.05,0.008870847
204,203,10-07-2023 09:31,21-07-2023 00:00,175,P,132.04,0.05,0
205,204,10-07-2023 09:31,21-07-2023 00:00,180,C,132.04,0.05,0.008752129
206,205,10-07-2023 09:31,21-07-2023 00:00,180,P,132.04,0.05,0
207,206,10-07-2023 09:31,21-07-2023 00:00,185,C,132.04,0.05,0.008650275
208,207,10-07-2023 09:31,21-07-2023 00:00,185,P,132.04,0.05,0
209,208,10-07-2023 09:31,21-07-2023 00:00,190,C,132.04,0.05,0.008567917
210,209,10-07-2023 09:31,21-07-2023 00:00,190,P,132.04,0.05,0
211,210,10-07-2023 09:31,21-07-2023 00:00,195,C,132.04,0.05,0.00848516
212,211,10-07-2023 09:31,21-07-2023 00:00,195,P,132.04,0.05,62.84056474
213,212,10-07-2023 09:31,21-07-2023 00:00,200,C,132.04,0.05,0.008411858
214,213,10-07-2023 09:31,21-07-2023 00:00,200,P,132.04,0.05,0
215,214,10-07-2023 09:31,21-07-2023 00:00,205,C,132.04,0.05,0.008357505
216,215,10-07-2023 09:31,21-07-2023 00:00,205,P,132.04,0.05,0
217,216,10-07-2023 09:31,21-07-2023 00:00,210,C,132.04,0.05,0.008299099
218,217,10-07-2023 09:31,21-07-2023 00:00,210,P,132.04,0.05,0
219,218,10-07-2023 09:31,21-07-2023 00:00,215,C,132.04,0.05,0.008239015
220,219,10-07-2023 09:31,21-07-2023 00:00,215,P,132.04,0.05,0
221,220,10-07-2023 09:31,21-07-2023 00:00,220,C,132.04,0.05,0.011155862
222,221,10-07-2023 09:31,21-07-2023 00:00,220,P,132.04,0.05,0
223,222,10-07-2023 09:31,28-07-2023 00:00,80,C,132.04,0.05,0
224,223,10-07-2023 09:31,28-07-2023 00:00,80,P,132.04,0.05,0.029055632
225,224,10-07-2023 09:31,28-07-2023 00:00,85,C,132.04,0.05,47.2872683
226,225,10-07-2023 09:31,28-07-2023 00:00,85,P,132.04,0.05,0.071991189
227,226,10-07-2023 09:31,28-07-2023 00:00,90,C,132.04,0.05,0
228,227,10-07-2023 09:31,28-07-2023 00:00,90,P,132.04,0.05,0.032909942
229,228,10-07-2023 09:31,28-07-2023 00:00,95,C,132.04,0.05,0
230,229,10-07-2023 09:31,28-07-2023 00:00,95,P,132.04,0.05,0.076187499
231,230,10-07-2023 09:31,28-07-2023 00:00,100,C,132.04,0.05,32.34281849
232,231,10-07-2023 09:31,28-07-2023 00:00,100,P,132.04,0.05,0.036800241
233,232,10-07-2023 09:31,28-07-2023 00:00,105,C,132.04,0.05,0
234,233,10-07-2023 09:31,28-07-2023 00:00,105,P,132.04,0.05,0.040740207
235,234,10-07-2023 09:31,28-07-2023 00:00,110,C,132.04,0.05,22.3931298
236,235,10-07-2023 09:31,28-07-2023 00:00,110,P,132.04,0.05,0.04457309
237,236,10-07-2023 09:31,28-07-2023 00:00,115,C,132.04,0.05,17.3939921
238,237,10-07-2023 09:31,28-07-2023 00:00,115,P,132.04,0.05,0.07953111
239,238,10-07-2023 09:31,28-07-2023 00:00,118,C,132.04,0.05,14.46915412
240,239,10-07-2023 09:31,28-07-2023 00:00,118,P,132.04,0.05,0.144718653
241,240,10-07-2023 09:31,28-07-2023 00:00,119,C,132.04,0.05,13.54037132
242,241,10-07-2023 09:31,28-07-2023 00:00,119,P,132.04,0.05,0.178100615
